id	file	reason	approved_by	date
BG-1040	src/app/iggy3d/room_editor/ProductRoomEditorActionController.cpp	room editor direct floor wall tool input policy	codex	2026-06-26
BG-1041	src/app/iggy3d/room_editor/ProductRoomEditorActionController.cpp	room editor wall direction rotate input policy	codex	2026-06-26
BG-1042	src/app/iggy3d/room_editor/ProductRoomEditorCursor.cpp	room editor wall direction clockwise cycle table	codex	2026-06-26
BG-1043	src/app/iggy3d/room_editor/ProductRoomEditorCursor.cpp	pure room editor mouse grid pick validation	codex	2026-06-26
BG-1044	src/app/iggy3d/automation/AutomationRoomEditing.cpp	room editor mouse pick automation validation	codex	2026-06-26
BG-1045	src/app/iggy3d/room_editor/ProductRoomEditorPreview.cpp	room editor phantom placement preview validation	codex	2026-06-26
BG-1046	src/app/iggy3d/room_editor/ProductRoomEditorOverlay.cpp	room editor phantom placement preview overlay validation	codex	2026-06-26
BG-1047	src/app/iggy3d/ProductPrimitiveDrawList.cpp	room editor phantom placement preview draw-list validation	codex	2026-06-26
BG-1048	src/app/iggy3d/ProductRenderBridge.cpp	room editor phantom placement preview bridge count validation	codex	2026-06-26
BG-1049	src/app/iggy3d/automation/AutomationRoomEditing.cpp	room editor active phantom preview automation validation	codex	2026-06-26
BG-1050	src/app/iggy3d/gameplay/ProductGameplayProjectionRefresh.cpp	room editor active phantom preview projection validation	codex	2026-06-26
BG-1051	src/app/iggy3d/automation/AutomationRoomEditing.cpp	room editor phantom preview confirm cancel validation	codex	2026-06-26
BG-1052	src/app/iggy3d/gameplay/ProductGameplayProjectionRefresh.cpp	room editor cleared phantom preview receipt preservation	codex	2026-06-26
BG-1054	src/app/iggy3d/automation/AutomationRoomEditing.cpp	room editor physical phantom preview action dispatch	codex	2026-06-26
BG-1055	src/app/iggy3d/window/ProductWindowInputFrame.cpp	room editor physical phantom preview input routing	codex	2026-06-26
BG-1056	src/app/iggy3d/ProductInteractionMode.cpp	product controller interaction mode chord policy	codex	2026-06-26
BG-1057	src/app/iggy3d/ProductControllerActionMap.cpp	product controller action mapping table lookup policy	codex	2026-06-26
BG-1058	src/app/iggy3d/ProductInteractionModeState.cpp	product interaction mode surface derivation policy	codex	2026-06-26
BG-1059	src/app/iggy3d/window/ProductWindowInputFrame.cpp	controller mode chord consumes gamepad action polling	codex	2026-06-26
BG-1060	src/app/iggy3d/ProductControllerActionRouting.cpp	product controller action routing table emission policy	codex	2026-06-26
BG-1061	src/app/iggy3d/window/ProductWindowInputFrame.cpp	product controller sample input application seam	codex	2026-06-26
BG-1062	src/app/iggy3d/automation/AutomationGameplay.cpp	controller input automation sample sequence parsing	codex	2026-06-26
BG-1063	src/app/iggy3d/window/ProductWindowInputFrame.cpp	live creative room editor mouse pick preview policy	codex	2026-06-26
BG-1064	src/app/iggy3d/ProductInteractionModeHud.cpp	product interaction mode hud descriptor visibility policy	codex	2026-06-26
BG-1065	src/app/iggy3d/view/OpeningMenuView.cpp	product interaction mode hud draw visibility policy	codex	2026-06-26
BG-1066	src/app/frontend/PauseMenu.cpp	leave editor pause menu availability policy	codex	2026-06-26
BG-1067	src/app/iggy3d/menu/ProductMenuActionHandlers.cpp	leave editor pause action lifecycle policy	codex	2026-06-26
BG-1068	src/app/iggy3d/ProductAppOptions.cpp	explicit product debug overlay option parsing	codex	2026-06-26
BG-1069	src/app/iggy3d/window/ProductWindowRendererLifecycle.cpp	product Vulkan gameplay readiness gate policy	codex	2026-06-26
BG-1070	src/app/iggy3d/ProductTopDownMapOverlay.cpp	product top-down map overlay purpose policy	codex	2026-06-26
BG-1071	src/app/iggy3d/view/OpeningMenuView.cpp	product top-down map SDL layout policy	codex	2026-06-26
BG-1072	src/app/iggy3d/window/ProductWindowFramePresenter.cpp	product Vulkan starter menu unsupported status policy	codex	2026-06-26
BG-1073	src/app/iggy3d/menu/ProductUiDrawList.cpp	product starter UI draw-list guard and descriptor lookup policy	codex	2026-06-26
BG-1074	src/app/iggy3d/window/ProductMouseCapturePolicy.cpp	product mouse capture gameplay ownership policy	codex	2026-06-27
BG-1075	src/app/platform/SdlWindow.cpp	SDL relative mouse mode platform guard policy	codex	2026-06-27
BG-1076	src/app/iggy3d/window/ProductWindowInputFrame.cpp	product window mouse capture platform update policy	codex	2026-06-27
BG-1077	src/render/debug/DebugHudText.cpp	positioned bitmap text layout bounds policy	codex	2026-06-27
BG-1078	src/render/vulkan/RenderLoop.cpp	Vulkan product UI primitive frame routing policy	codex	2026-06-27
BG-1079	src/app/iggy3d/window/ProductVulkanMenuFrame.cpp	product starter UI Vulkan frame conversion policy	codex	2026-06-27
BG-1080	src/render/FrameInput.cpp	render UI-only frame validation policy	codex	2026-06-27
BG-1081	src/render/null/NullRenderer.cpp	null renderer UI-only frame scene count policy	codex	2026-06-27
BG-1082	src/runtime/object/ObjectTraits.cpp	runtime object asset and instance validation policy	codex	2026-06-27
BG-1083	src/app/iggy3d/room_editor/ProductRoomEditorObjectPalette.cpp	room editor object palette validation and selection policy	codex	2026-06-27
BG-1084	src/runtime/physics/PhysicsTypes.cpp	runtime physics descriptor validation policy	codex	2026-06-27
BG-1085	src/runtime/physics/PhysicsBodyStore.cpp	runtime physics body store lookup and mutation policy	codex	2026-06-27
BG-1086	src/runtime/physics/PhysicsStep.cpp	runtime physics fixed-step validation and integration policy	codex	2026-06-27
BG-1087	src/runtime/physics/PhysicsAabbCollider.cpp	runtime physics AABB collider validation and query policy	codex	2026-06-27
BG-1088	src/runtime/physics/PhysicsBroadphase.cpp	runtime physics AABB broadphase pair collection policy	codex	2026-06-27
BG-1089	src/runtime/physics/PhysicsAabbContact.cpp	runtime physics AABB narrowphase contact generation policy	codex	2026-06-27
BG-1090	src/runtime/physics/PhysicsShapeStore.cpp	runtime physics shape store validation and mutation policy	codex	2026-06-27
BG-1091	src/runtime/physics/PhysicsMaterialTraits.cpp	runtime physics material traits validation and pair policy	codex	2026-06-27
BG-1092	src/runtime/physics/PhysicsAabbContactSolver.cpp	runtime physics AABB contact solver plan validation and delta policy	codex	2026-06-27
BG-1093	src/runtime/physics/PhysicsBodyDeltaAccumulator.cpp	runtime physics body delta accumulator validation and apply policy	codex	2026-06-27
BG-1094	src/runtime/physics/PhysicsColliderBake.cpp	runtime physics body shape material binding and AABB bake policy	codex	2026-06-27
BG-1095	src/runtime/physics/PhysicsAabbCollisionBatch.cpp	runtime physics pure AABB collision batch pipeline policy	codex	2026-06-27
BG-1096	src/runtime/physics/PhysicsAabbStep.cpp	runtime physics applied AABB step pipeline policy	codex	2026-06-27
BG-1097	src/runtime/physics/PhysicsCollisionQueries.cpp	runtime physics read-only AABB collision query policy	codex	2026-06-27
BG-1098	src/runtime/physics/PhysicsKinematicMotor.cpp	runtime physics pure kinematic AABB motor planning policy	codex	2026-06-27
BG-1099	src/runtime/physics/PhysicsSpatialSurfaceColliderBake.cpp	runtime physics spatial surface to AABB collider bake policy	codex	2026-06-27
BG-1100	src/runtime/player/PlayerPhysicsMovePlanner.cpp	runtime player physics move planner composition policy	codex	2026-06-27
BG-1101	src/runtime/player/PlayerMotor.cpp	runtime player opt-in physics movement planner policy	codex	2026-06-27
BG-1102	src/runtime/movement/MovementSystem.cpp	runtime movement opt-in physics planner policy	codex	2026-06-27
BG-1103	src/runtime/session/Session.cpp	transient SessionTickOptions physics movement planner policy	codex	2026-06-27
BG-1104	src/runtime/session/SessionRunner.cpp	transient SessionRunner physics movement planner option policy	codex	2026-06-27
BG-1105	src/runtime/physics/PhysicsFrameStats.cpp	runtime physics frame stats aggregation and finite scalar policy	codex	2026-06-27
BG-1106	src/runtime/physics/PhysicsDebugSnapshot.cpp	runtime physics debug snapshot validation and warning policy	codex	2026-06-27
BG-1107	src/projection/debug/DebugProjection.cpp	projection physics debug HUD line status and warning policy	codex	2026-06-27
BG-1108	src/app/iggy3d/ProductPhysicsDebugHud.cpp	product physics debug HUD gate and warning tone policy	codex	2026-06-27
BG-1109	src/app/iggy3d/gameplay/ProductGameplayProjectionRefresh.cpp	product physics debug projection packet routing policy	codex	2026-06-27
BG-1110	src/app/iggy3d/view/OpeningMenuView.cpp	product physics debug SDL HUD draw visibility and row cap policy	codex	2026-06-27
BG-1111	src/projection/debug/DebugProjection.cpp	physics collision batch debug geometry projection policy	codex	2026-06-27
BG-1112	src/app/iggy3d/ProductPrimitiveDrawList.cpp	product physics debug projection item draw-list mapping policy	codex	2026-06-27
BG-1113	src/app/iggy3d/ProductRenderBridge.cpp	product physics debug render bridge count policy	codex	2026-06-27
BG-1114	src/app/iggy3d/ReceiptBuilder.cpp	product physics movement planner receipt status policy	codex	2026-06-27
BG-1115	src/app/iggy3d/gameplay/ProductGameplayController.cpp	product gameplay transient physics movement opt-in policy	codex	2026-06-27
BG-1116	src/runtime/physics/PhysicsKernelBenchmark.cpp	runtime physics kernel benchmark dispatch and validation policy	codex	2026-06-27
BG-1117	src/runtime/physics/PhysicsKernelBenchmarkJson.cpp	runtime physics kernel benchmark JSON serialization policy	codex	2026-06-27
BG-1118	apps/iggy3d_physics_kernel_bench/main.cpp	physics kernel benchmark CLI parsing and output policy	codex	2026-06-27
BG-1119	src/app/iggy3d/view/OpeningMenuView.cpp	product first-person primitive viewport and top-down overlay draw policy	codex	2026-06-27
BG-1120	src/app/iggy3d/gameplay/TapeRunner.cpp	product gameplay tape movement receipt mirror policy	codex	2026-06-27
BG-1121	src/app/iggy3d/view/OpeningMenuView.cpp	opening menu child panel SDL draw and hit-test policy	codex	2026-06-28
BG-1122	src/app/iggy3d/window/InputFrame.cpp	opening menu child panel mouse click routing policy	codex	2026-06-28
BG-1123	src/app/iggy3d/window/InputFrame.cpp	opening menu real-window coordinate normalization policy	codex	2026-06-28
BG-1124	src/app/iggy3d/menu/ActionHandlers.cpp	physical dev-tools toggle routing policy	codex	2026-06-28
BG-1125	src/content/authoring/EditableRoomDocument.cpp	editable room static object primitive validation and bake policy	codex	2026-06-28
BG-1126	src/app/iggy3d/room_editor/Cursor.cpp	room editor object placement command geometry validation policy	codex	2026-06-28
BG-1127	src/app/iggy3d/room_editor/Presentation.cpp	room editor object tool HUD presentation policy	codex	2026-06-28
BG-1128	src/app/iggy3d/view/PrimitiveDrawList.cpp	product prop and object preview draw-list mapping policy	codex	2026-06-28
BG-1129	src/app/iggy3d/view/RenderBridge.cpp	product prop render bridge count policy	codex	2026-06-28
BG-1130	src/app/iggy3d/ascii_room/AsciiRoomGrid.cpp	ASCII object glyph metadata count policy	codex	2026-06-28
BG-1131	src/app/iggy3d/ascii_room/AsciiRoomToAuthoredRoom.cpp	ASCII crate glyph authored object emission policy	codex	2026-06-28
BG-1132	src/app/iggy3d/ascii_room/AsciiRoomToRoomAsset.cpp	authored object blocker traversal tag de-duplication policy	codex	2026-06-28
BG-1133	src/app/iggy3d/ascii_room/AsciiRoomToRoomAsset.cpp	authored object actor blocker surface bake policy	codex	2026-06-28
BG-1134	src/app/iggy3d/ascii_room/AsciiRoomToRoomAsset.cpp	authored object projectile blocker surface bake policy	codex	2026-06-28
BG-1135	src/runtime/save/SaveCodec.cpp	backward-compatible authored room object decode policy	codex	2026-06-28
BG-1136	src/app/iggy3d/automation/Automation.cpp	world setup builtin dungeon selector receipt index policy	codex	2026-06-28
BG-1137	src/app/iggy3d/Operations.cpp	world setup create selected dungeon receipt index policy	codex	2026-06-28
BG-1138	src/app/iggy3d/window/InputFrame.cpp	new world mouse dungeon selector routing policy	codex	2026-06-28
BG-1139	src/app/iggy3d/view/OpeningMenuView.cpp	new world mouse dungeon selector label visibility policy	codex	2026-06-28
BG-1140	src/app/iggy3d/menu/ActionHandlers.cpp	starter delete save button confirmation routing policy	codex	2026-06-28
BG-1141	src/app/iggy3d/view/OpeningMenuView.cpp	starter child panel button visibility and back hit-test policy	codex	2026-06-28
BG-1142	src/app/iggy3d/window/InputFrame.cpp	starter child panel mouse back routing policy	codex	2026-06-28
BG-1143	src/app/iggy3d/menu/DrawList.cpp	new world starter child UI draw-list rendering policy	codex	2026-06-28
BG-1144	src/app/iggy3d/menu/DrawList.cpp	new world ASCII draft preview and cursor draw-list policy	codex	2026-06-28
BG-1145	src/app/iggy3d/view/OpeningMenuView.cpp	new world SDL ASCII draft cursor preview policy	codex	2026-06-28
